Precio UF,N Habitaciones,N Baños,Comuna,Provincia,Amueblado,Estacionamiento,Año de construcción,Aire Acondicionado,Alarma,Bodega,Chimenea,Placares,Cocina Equipada,Terraza,Portero,Centros comerciales,Cerca de Escuelas,Cocina Integrada,Internet,Patio,Aseos,Piscina,Quincho,Cerca de estación de tren,Calefacción,Jacuzzi,Jardín,Área juegos infantiles,Gimnasio,Seguridad 24 horas,Vista panorámica,Balcón,Pieza de Servicio,Acceso a discapacitados,Cancha de Tenis,Sauna,Ascensor,Area Construida,Area Terreno,Casa,Terreno,Ratio Hab/Baños
12800.0,3.0,4.0,Concón,Valparaíso,Sin amueblar,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300.0,139.0,1,0,0.75
23000.0,4.0,5.0,Viña del Mar,Valparaíso,Sin amueblar,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1701.0,450.0,1,0,0.8
8081.8,4.0,3.0,Viña del Mar,Valparaíso,Sin amueblar,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,247.9,160.0,1,0,1.3333333333333333
8100.0,3.0,3.0,Otras,San Felipe de Aconcagua,Semi-amueblado,1,2005.0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,413.0,160.0,1,0,1.0
9567.24,4.0,2.0,Quilpué,Valparaíso,Sin amueblar,1,1998.0,0,0,1,0,1,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,440.0,194.0,1,0,2.0
3144.6,3.0,2.0,Villa Alemana,Valparaíso,Sin amueblar,1,2015.0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,105.0,90.0,1,0,1.5
10300.0,4.0,3.0,Quilpué,Valparaíso,,0,2015.0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,500.0,200.0,1,0,1.3333333333333333
2341.46,0.0,0.0,Otras,Marga Marga,,0,2025.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,840.0,0,1,nan
2341.46,3.0,2.0,Quilpué,Valparaíso,,0,1980.0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150.0,70.0,1,0,1.5
4750.0,3.0,2.0,Villa Alemana,Valparaíso,Sin amueblar,1,2022.0,0,0,0,0,1,1,0,1,0,1,0,1,1,0,1,1,1,0,1,1,1,1,1,1,0,0,0,0,0,0,200.0,84.0,1,0,1.5
