Precio UF,N Habitaciones,Area m2,N Baños,Comuna,Provincia,Amueblado,Gastos Comunes,Área útil,Estacionamiento,m2 terreno,Enlace,Año de construcción,Agua,Aire Acondicionado,Alarma,Bodega,Chimenea,Placares,Cocina Equipada,Terraza,Portero,Centros comerciales,Cerca de Escuelas,Cocina Integrada,Electricidad,Internet,Patio,Aseos,Piscina,Quincho,Cerca de estación de tren,Calefacción,Jacuzzi,Jardín,Estado de conservación,Gas Natural,Área juegos infantiles,Gimnasio,Seguridad 24 horas,Vista panorámica,Balcón,Pieza de Servicio,Acceso a discapacitados,Cancha de Tenis,Nivel,Sólo familias,Sauna,Ascensor
12.800,3,139,4,Concón,Valparaíso,Sin amueblar,: true,139,True,300,https://www.icasas.cl/propiedad/b4c4-ae6b-194a9bc-400a0f616db0-7723,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23.000,4,450,5,Viña del Mar,Valparaíso,Sin amueblar,,450,True,1.701,https://www.icasas.cl/propiedad/6344-a796-7cabb976-36a02a0d33ad-3825,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8.081,8",4,160,3,Viña del Mar,Valparaíso,Sin amueblar,,160,True,"247,9",https://www.icasas.cl/propiedad/c5c8-905f-198f811-e8ce324c3c89-78e6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8.100,3,160,3,San Felipe,San Felipe de Aconcagua,Semi-amueblado,,,True,413,https://www.icasas.cl/propiedad/da21-9ccf-197c21a-9893f8b45585-73cd,2.005,True,True,True,True,True,True,True,True,True,True,True,,,,,,,,,,,,,,,,,,,,,,,,,
"9.567,24",4,194,2,Quilpué,Valparaíso,Sin amueblar,,,True,440,https://www.icasas.cl/propiedad/d725-a794-19b8b7b-9e90fbbb8acf-7553,1.998,True,,,True,,True,,,,True,True,True,True,True,True,1,True,True,,,,,,,,,,,,,,,,,,
"3.144,6",3,90,2,Villa Alemana,Valparaíso,Sin amueblar,,,True,105,https://www.icasas.cl/propiedad/2429-b0ac-19b8766-b51afd16cf7c-77ab,2.015,True,,True,,,,True,,,,True,,True,,,,,,True,,,,,,,,,,,,,,,,,
10.300,4,200,3,Quilpué,Valparaíso,,,200,,500,https://www.icasas.cl/propiedad/b1df-98d0-f1e28d5-c4e0a96b4996-4a4c,2.015,,,,,,,,,,,,,,True,,1,True,,,True,True,True,Excelente,,,,,,,,,,,,,
"2.341,46",,840,,Olmué,Marga Marga,,,840,,840,https://www.icasas.cl/propiedad/5e59-85e0-704f482-fa9d9f282638-4507,2.025,,,,,,,,,,,,,,,,,,,,,,True,Excelente,,,,,,,,,,,,,
"2.341,46",3,70,2,Quilpué,Valparaíso,,,70,,150,https://www.icasas.cl/propiedad/c669-88ff-95bacc67-9df7974a8302-46fd,1.980,,,,,True,,,,,,,,,True,,,,,,,,,Excelente,,,,,,,,,,,,,
4.750,3,84,2,Villa Alemana,Valparaíso,Sin amueblar,,,True,200,https://www.icasas.cl/propiedad/a2cf-af13-199bfc6-7e383bc7d7b7-72b1,2.022,,,,,,True,True,,True,,True,,True,True,True,,True,True,True,,True,True,,True,True,True,True,True,,,,,,,,
25.000,6,450,4,Viña del Mar,Valparaíso,,,,True,1.200,https://www.icasas.cl/propiedad/69ac-b70c-19a1335-2e1a5f523e95-7494,,True,,True,True,True,True,True,True,,True,True,,,,,,,,True,,,True,,True,,,,,True,True,True,,,,,
1.965,3,80,1,Quilpué,Valparaíso,Sin amueblar,: true,,True,130,https://www.icasas.cl/propiedad/c71f-abea-196b8a8-4462e4aaf1fe-8080,,True,,,True,,True,True,True,,True,True,,True,True,True,,,,True,,,True,,True,,,True,,,,True,,,,,
18.500,4,166,4,Papudo,Petorca,Amueblado,,166,True,1.082,https://www.icasas.cl/propiedad/67f6-ae36-19baa31-cbec9534a6a5-74d2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8.462,,,,Cartagena,San Antonio,,,10.000,,10.000,https://www.icasas.cl/propiedad/4540-916a-197c6e2-f8dac1f5d8c4-7e40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"11.807,99",4,450,6,Quilpué,Valparaíso,Amueblado,,450,,5.650,https://www.icasas.cl/propiedad/b430-a7b4-13122fbc-a09f2bcaf573-4a37,2.000,,True,True,,True,,,,,,,,,True,,,True,,,True,,True,Excelente,,,,,,,,,True,,,,
6.990,5,160,4,Quilpué,Valparaíso,Sin amueblar,,,True,400,https://www.icasas.cl/propiedad/7650-a301-b1d7e4a6-b9116fe37fc6-49ab,,True,,,True,,True,True,True,True,True,True,True,True,,True,1,True,True,,True,True,True,,,,,,,True,True,,,,,,
"11.329,63",5,600,3,Quilpué,Valparaíso,,,,True,600,https://www.icasas.cl/propiedad/facc-8b25-19bc8a2-decc9fce51bb-73f3,,,True,True,,True,True,,,,True,True,True,,,True,,True,,True,,,True,,True,,,True,,,,,,,,,
13.400,5,250,3,Viña del Mar,Valparaíso,,,,True,700,https://www.icasas.cl/propiedad/2c9f-8484-1972315-d8168a380db7-77f9,,,,True,True,True,True,True,True,,True,True,,,,True,,,,True,True,,True,,True,,,True,True,True,True,,,,,,
13.490,8,260,7,Viña del Mar,Valparaíso,,,,True,350,https://www.icasas.cl/propiedad/5ac4-91a3-2805b92e-e7da2afd4465-4d1a,,,,True,,True,True,True,True,,True,True,,,,True,,,True,True,,,True,,True,,,,,True,True,,,,,,
"4.632,56",6,220,2,Viña del Mar,Valparaíso,,,,True,220,https://www.icasas.cl/propiedad/ad4e-81b4-198251e-5fe833a06bff-7358,,,,,,,,True,True,,True,True,,,,True,,,,,,,True,,True,,,,,True,,,,,,,
16.500,5,252,4,Zapallar,Petorca,Sin amueblar,: true,252,True,5.032,https://www.icasas.cl/propiedad/de10-9c44-19baa2f-ef6b6ebbef93-7981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.950,4,212,3,Zapallar,Petorca,Sin amueblar,: true,212,,5.000,https://www.icasas.cl/propiedad/4480-aed8-19baa30-36c019bd5b29-7cf4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14.300,5,215,4,Puchuncaví,Valparaíso,Sin amueblar,: true,215,True,858,https://www.icasas.cl/propiedad/4335-9b5b-19baa33-99bbb20d7edf-78c4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14.000,4,200,4,Zapallar,Petorca,Sin amueblar,: true,200,,5.060,https://www.icasas.cl/propiedad/d848-b77a-19ba9ae-608529403e69-7a4f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.800,3,150,3,Zapallar,Petorca,Sin amueblar,: true,150,,5.000,https://www.icasas.cl/propiedad/43e9-acaa-19ba9ae-198e7ec3f3ac-73c8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
235.000,6,347,3,Zapallar,Petorca,Sin amueblar,,347,True,5.413,https://www.icasas.cl/propiedad/ae1a-9b7e-19baa2f-5feee8726b40-7d39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69.000,7,341,7,Zapallar,Petorca,Sin amueblar,,341,True,1.200,https://www.icasas.cl/propiedad/21bc-a1f7-19baa2b-413ed7fe8d9c-75a9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.500,4,270,3,San Felipe,San Felipe de Aconcagua,Sin amueblar,,270,,7.200,https://www.icasas.cl/propiedad/3830-86f3-19baa2b-26cdfdfdabd6-7784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18.000,4,154,4,Zapallar,Petorca,Amueblado,,154,True,838,https://www.icasas.cl/propiedad/c64f-82a4-19baa31-c1a4f535ad32-7263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18.000,4,155,4,Papudo,Petorca,Amueblado,,155,True,837,https://www.icasas.cl/propiedad/5367-9642-19baa31-4a90776ab82f-73da,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8.750,3,397,5,Concón,Valparaíso,Sin amueblar,,397,,400,https://www.icasas.cl/propiedad/4332-b43b-19716b8-27e26eed5b19-74d8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.900,5,280,5,Quintero,Valparaíso,Sin amueblar,: true,280,True,2.500,https://www.icasas.cl/propiedad/9cb5-bfd4-62d541b3-f2891fd3730f-3ff1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.500,3,140,3,Concón,Valparaíso,Sin amueblar,: true,140,,2.500,https://www.icasas.cl/propiedad/44ca-a02e-9c1338df-2587f23a4acf-3a7b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8.600,6,240,6,Algarrobo,San Antonio,Amueblado,,,True,5.500,https://www.icasas.cl/propiedad/1280-9cc8-e90029e8-ff9cddc652c3-4e2a,,True,,True,True,True,,True,True,True,,,,True,,True,,True,True,,True,,True,,,True,,True,True,True,,,,,,,
7.800,20,773,,Valparaíso,Valparaíso,Sin amueblar,,773,,398,https://www.icasas.cl/propiedad/d21-a8ed-194dc9b-752e71de4060-74f6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17.000,6,275,3,Viña del Mar,Valparaíso,,,,,497,https://www.icasas.cl/propiedad/6398-8652-51f6ecd3-d06cc214bf3a-3acd,,,,,,,,,,,,,,True,,True,,,True,,,,,,,,,,,True,,,,3,,,
"7.049,55",3,136,1,Viña del Mar,Valparaíso,,,,True,190,https://www.icasas.cl/propiedad/7390-9047-19a515d-5ac59fcaf23a-7f65,1.980,True,,,True,,True,,,,True,True,,True,,,1,,,,,,,,,,,,,,,,,,,,
6.100,4,122,3,Algarrobo,San Antonio,Sin amueblar,,,True,450,https://www.icasas.cl/propiedad/adb2-bfc8-191c5bb-2004160222ff-74ce,1.960,True,,,,,True,True,True,,True,True,,True,True,True,1,True,True,,,,True,,True,,,,,True,True,,,,,,
10.000,11,198,7,El Quisco,San Antonio,Amueblado,,,True,1.280,https://www.icasas.cl/propiedad/7523-819f-19ba09b-7e0032948375-7445,,True,,True,,,,,,,,,,True,True,True,,,True,,,,,,,,,,,,,,,2,,,
"5.010,21",8,334,4,Valparaíso,Valparaíso,,: true,,,228,https://www.icasas.cl/propiedad/9729-80d8-198f6fb-f7e2b725fd89-7632,,,,,,,,,,,True,True,,,,,,,,,,,,,,,,,,,,,,,,,
"2.140,04",3,180,1,Villa Alemana,Valparaíso,,,,,78,https://www.icasas.cl/propiedad/9c9e-9fec-19aef8d-d7000292e256-7340,1.975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.561,4,200,1,Valparaíso,Valparaíso,Sin amueblar,: true,,,500,https://www.icasas.cl/propiedad/99e6-91b4-197ffdb-ef0fc344931c-76e5,1.950,True,,,True,,,,True,,True,True,,True,,True,,,,True,,,,,,,,,,True,,,,,,,
"3.726,19",3,227,2,Quillota,Quillota,,,,,,https://www.icasas.cl/propiedad/b5f6-bb2f-19b05a6-4c8e77adf7ea-717a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65.000,7,360,7,Zapallar,Petorca,,,,True,2.100,https://www.icasas.cl/propiedad/4da2-8cc8-1976c64-aa402a7d358f-7a39,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,3,,,
4.450,3,,2,Olmué,Marga Marga,,,76,True,900,https://www.icasas.cl/propiedad/2d82-9486-19bfb6a-72eb791db890-7d2b,,True,,,,,True,True,,,,,,True,,True,,True,True,,,,True,,,,,,,,,,,,,,
11.900,5,224,4,Viña del Mar,Valparaíso,Sin amueblar,,,,428,https://www.icasas.cl/propiedad/7d0d-8c8c-19bf9f4-5720ecaa320b-7c45,2.000,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,
"2.014,16",2,62,1,Villa Alemana,Valparaíso,Sin amueblar,,,True,125,https://www.icasas.cl/propiedad/988d-a2c0-19ae9ef-94d62c6fe28c-7d4d,1.995,True,,,True,,,,,,,True,True,True,True,True,1,,,,True,,,,,,,,,,,True,,,,,
"3.524,77",3,90,1,Villa Alemana,Valparaíso,Sin amueblar,,,True,180,https://www.icasas.cl/propiedad/105-ad80-1987668-b45b9b7086fd-7991,2.000,True,,,True,,True,True,True,True,True,True,,True,True,True,1,,True,,,,True,,,,,True,,,True,True,,,True,,
4.900,3,90,2,Puchuncaví,Valparaíso,Amueblado,,,True,200,https://www.icasas.cl/propiedad/8e63-9fcd-19a9437-3050a475ad66-790a,2.021,,,,True,,True,True,True,,True,True,,True,,True,,,,,,,True,,,,,,,,,,,,,,
4.190,4,115,2,Viña del Mar,Valparaíso,Sin amueblar,: true,115,True,115,https://www.icasas.cl/propiedad/c510-af21-19bbccc-19728fbf26c3-76a9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.000,8,288,5,Rinconada,Los Andes,Sin amueblar,,288,,2.507,https://www.icasas.cl/propiedad/6776-8458-199f47e-6abfd2427acf-725a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.800,2,420,2,Puchuncaví,Valparaíso,Semi-amueblado,,,True,70,https://www.icasas.cl/propiedad/645d-b6de-199c135-cdf52ed5c02e-76ce,2.000,,,,True,True,True,True,True,,True,True,,True,,True,,,True,,,,True,,,,,,True,True,,,,,,True,
20.000,4,500,2,Valparaíso,Valparaíso,,,,,500,https://www.icasas.cl/propiedad/4259-ad2a-86181e-6b928effbd36-3255,,,,,,,,,,,,,,True,,True,,,,,,,,,,,,,,True,,,,2,,,
"2.769,47",3,500,1,Villa Alemana,Valparaíso,Sin amueblar,,,True,,https://www.icasas.cl/propiedad/7f28-8321-19a08ba-d13695774a89-7426,1.980,True,,,True,,True,,True,,True,True,,True,True,True,,,True,,,,True,,,True,,,,,,True,,,,,
"4.280,08",3,207,2,Quilpué,Valparaíso,Sin amueblar,: true,,True,207,https://www.icasas.cl/propiedad/ea23-9ed8-190c3e0-c1e5779f6f71-72b3,2.019,True,,True,,,True,True,True,True,True,True,,True,True,True,,,True,,,,True,,,,,True,,,,,,,,,
2.300,3,54,1,Quilpué,Valparaíso,Sin amueblar,: true,,True,100,https://www.icasas.cl/propiedad/4954-81ad-1991d52-5f7a2d1df904-70f1,2.004,True,,,,,,,,,True,True,,True,True,True,,,,,,,True,,,,,,,,,,,,,,
"1.762,39",2,,1,San Felipe,San Felipe de Aconcagua,,,,,,https://www.icasas.cl/propiedad/4bf6-b162-19bfb92-1e5b412a99fa-77ae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17.400,4,213,5,Puchuncaví,Valparaíso,Sin amueblar,: true,213,True,213,https://www.icasas.cl/propiedad/cb62-bc89-19bb324-d15c3b627a9c-74a1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15.500,3,230,3,Puchuncaví,Valparaíso,Sin amueblar,,230,True,1.014,https://www.icasas.cl/propiedad/f4d6-b570-19bb322-38aa515bf83d-7eb4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.990,3,200,3,Algarrobo,San Antonio,,,,True,230,https://www.icasas.cl/propiedad/92ab-816c-197c3f0-47ea372bb763-7462,,True,,True,,,,,,,,,,True,True,True,,,,,,,,,True,,,,,True,,,,,,,
